,,,,,,,,,
Label ,Author,Gallery,Acc. No.,TMS,Inst. Date,De-Install Date,Status,Filename,
Brain to brain,C Algeo,G321,82.47,3077,9/5/2013,9/18/2013,Deinstalled,13.09.03_Algeo_BrainToBrainEDIT,
Crucifixion,D Richard,G341,79.19,10425,9/4/2013,9/18/2013,Deinstalled,13-09-04_79.19_CrucifixionEDIT,
French shepherds,D Richard,G354,99.200.2,5925,9/4/2013,9/18/2013,Deinstalled,13.09.03_Richard_ShepherdEDIT,
To the Moon,J Komar Oliverez,377,80.28,2725,9/5/2013,,Deinstalled,13-09-5_80.28_MoonProbeEDIT,
New Van Gogh,T Gihring,G355,51.7,1218,9/12/2013,9/26/2013,Deinstalled,13.09.12_VanGogh_Gihring,
Bar Mitzvah,A Bortolot,G362,98.136.17,30523,9/11/2013,9/26/2013,Deinstalled,13-09-11_98.136.17_BarMitzvahEDIT,
Temple doors,T Gihring,G222,Audience Hall,59617,9/14/2013,9/28/2013,missing,13.09.13_Temple_GihringEDIT,
Bookshelfies,T Gihring,G307,62.48,1488,9/14/2013,9/28/2013,missing,13.09.13_Bookshelfies_Gihring,
Sound Body Sound  Mind,A Bortolot,G230,86.6,3520,9/19/2013,10/3/2013,Deinstalled,,not tagged; no Newsflash
Fish market,D Richard,G251,"98.118.1a,b",30350,9/19/2013,10/3/2013,Deinstalled,13.09.19_Richard_FishMktEDIT,
Black plague,D Richard,G354,72.128,1913,9/19/2013,10/3/2013,Deinstalled,13.09.19_Richard_PlagueEDIT,
Revenge,D Richard,G306,69.22,1727,9/25/2013,10/9/2013,Deinstalled,13.09.25_Richard_RevengePornEDIT,
Pope,TGihring,G307,61.62,1463,9/25/2013,10/9/2013,Deinstalled,13.09.23_Gihring_pope,
Poetry,D Richard,G343,67.28,1632,9/25/2013,10/9/2013,Deinstalled,13-09-25_67.28_PoetAwoonorEDIT,
Apples,J Meyer,G371,94.30.4,4695,9/25/2013,10/9/2013,Deinstalled,13.09.23_Myer_apple harvest,
Camels RVs,A Bortolot,G207,2004.205.1.1,95595,9/26/2013,10/10/2013,Deinstalled,13.9.25_Bortolot_CamelsRVEDIT_,
Soldier Robots,A Bortolot,G243,51.37.29,1201,9/26/2013,10/10/2013,can't locate,13-09-26_51.37.29_SoldierRobotEDIT,
Dead Zone,A Bortolot,G364,92.136,4383,9/26/2013,10/10/2013,Deinstalled,13.09.26_Bortolot_Mississippi,
Indian Gold,D Richard,G211,92.132.1,4379,10/2/2013,10/16/2013,Deinstalled,13-10-03_92.132.1_IndianGoldEDIT,
First Face,TGihring,G260,2002.127,62148,10/2/2013,10/16/2013,Deinstalled,13.10.03_Gihring_FirstFaceEDIT,
Nose Jobs,TGihring,G306,41.3,593,10/2/2013,10/16/2013,Deinstalled,13.10.03_Gihring_NoseJobEDIT,
Frau Fashionista,D Richard,G324,54.27.91,8941,10/2/2013,10/16/2013,Deinstalled,13.10.03_Richard_DirndlEDIT,not tagged; no Newsflash
Disappearing Moose,T Gihring,G351,2009.64,108723,10/2/2013,10/16/2013,Deinstalled,13.10.03_Gihring_MooseEDIT,
Adios Osmo,D Richard,G359,2013.4,116020,10/2/2013,10/16/2013,Deinstalled,13.10.03_Richard_MNOrchEDIT,
Prancercise,A Thompson Rundahl,G215,98.19,5623,10/3/2013,10/17/2013,Deinstalled,13-10-03_98.19_PranceEDIT,
Cheating,D Richard,G217,99.144,12057,10/9/2013,10/23/2013,Deinstalled,13.10.09_Richard_CheatEDIT,
Whale Breath,A Bortolot,G213,2003.59,67498,10/10/2013,10/24/2013,Deinstalled,13.10.10_Bortolot_WhalesEDIT,
