,,,,,,,,,
Label ,Author,Gallery,Acc. No.,TMS,Inst. Date,De-Install Date,Status,Filename,
Vulva,Roma,G373,2010.8,109122,6/25/2014,7/9/2014,deinstalled,14-06-25_2010.8_vulvaEDIT,
Alice in Wonderland,Katie Wildfong,Com com,L2013.87,118536,6/26/2014,7/10/2014,deinstalled,14-06-26_L2013.87_AliceInWonderlandEDIT,
Courtroom,D Richard,G375,58.35,1355,7/2/2014,7/16/2014,deinstalled,14-07-01_58.35_courtroomEDIT,
Scholars rock,Roma,G218,98.81.2,5816,7/2/2014,7/16/2014,deinstalled,14-07-01_98.81.2_rockvideogameEDIT,
Japan Army,D Richard,G219,2009.60a-s,108860,7/2/2014,7/16/2014,deinstalled,14-07-02_2009.60a-s_JapanArmyEDIT,
Torture Chair,D Richard,G300,99.62.1,10037,7/2/2014,7/16/2014,deinstalled,14-07-02_99.62.1_TortureChairEDIT,
Dead Pose,D Richard,G250,2010.72,111088,7/2/2014,7/16/2014,deinstalled,14-07-02_2010.72_DeadPoseEDIT,
Climate Refugee,T Gihring,G256,74.79.1,2138,7/4/2014,7/18/2014,deinstalled,14-07-04_74.79.1_ClimateRefugeeEDIT,
Spider silk,D Richard,G340,23.54,14148,7/8/2014,7/22/2014,deinstalled,14-07-08_23.54_SilkArmorEDIT,
Fake monk,D Richard,G200,59.5,1373,7/8/2014,7/22/2014,deinstalled,14-07-08_59.5_FakeMonksEDIT,
Fat guy,D Richard,G307,58.10,10451,7/8/2014,7/22/2014,deinstalled,14-07-08_58.10_SleepingEDIT,
Weddings,D Richard,G302,14.12,46,7/10/2014,7/24/2014,deinstalled,14-07-09_14.12_WeddingsEDIT,
Wanderlust App,Roma,?,2010.88,111219,7/14/2014,7/28/2014,deinstalled,14-07-14_2010.88_MapMostBeautifulEDIT,
Shoo Mayfly,Katie Wildfong,?,87.4,3584,7/14/2014,7/28/2014,deinstalled,14-07-23_87.4_MayflyInvasionEDIT,
Yellow Sheep,Katie Wildfong,? ,99.132,311146,7/14/2014,7/28/2014,deinstalled,14-07-23_99.132_YellowSheepTourDeFrEDIT,
Scruff Face,D Richard,G373,69.137,1721,7/16/2014,7/30/2014,deinstalled,14-07-17_69.137_ScruffFaceEDIT,
,,,,,,,,,
Ganesha,D Richard,G213,2003.198,81675,7/17/2014,7/31/2014,deinstalled,14-07-17_2003.198_GaneshaEDIT,
Phil Colllins,D Richard,G301,84.4.1,3286,7/17/2014,7/31/2014,deinstalled,14-07-17_84.4.1_PhilCollinsEDIT,
Spies Typewriters,T Gihring,G379,2008.44.1,106338,7/17/2014,7/31/2014,deinstalled,14-07-17_2008.44.1_TypewriterSpiesEDIT,
Scot independence,D Richard,G313,26.2,320,7/23/2014,8/6/2014,deinstalled,14-07-24_26.2_ScotlandEDIT,
Eagle Wind Farm,D Richard,G307,66.9,1629,7/30/2014,8/13/2014,deinstalled,14-07-30_66.9_EagleEDIT,
Silence is deadly,D Richard,G377,54.3,1255,7/30/2014,8/13/2014,deinstalled,14-07-30_54.30_SilenceEDIT,
Sleep Smarts,TGihring,G374,2008.79,106730,8/1/2014,8/15/2014,deinstalled,14-08-01_2008.79_SleepSmartsEDIT,
Smart Design,TGihring,US Bank,Finland design study,12828,8/1/2014,8/15/2014,deinstalled,14-08-01_FinlandExhib_SmartDesignEDIT,
Sharks,D Richard,G323,78.26,2543,8/5/2014,8/19/2014,deinstalled,14-08-04_78.26_SharkEDIT,
Selfie,D Richard,3rd floor hallway,71.1,1838,8/6/2014,8/20/2014,deinstalled,14-08-05_71.1_SelfieEDIT,
Ebola,D Richard,G321,52.14,1226,8/6/2014,8/20/2014,deinstalled,14-08-06_52.14_ebolaEDIT,
Face,Ana,G315,P.70.59,48862,8/7/2014,8/21/2014,deinstalled,14-08-07_P70.59_trustEDIT,
Statue Race,TGihring,G211,2001.153,6161,8/11/2014,8/25/2014,deinstalled,14-08-11_2001.153_StatueRaceEDIT,
Apple,D Richard,G367,62.73.1,1502,8/13/2014,8/27/2014,deinstalled,14-08-13_62.73.1_AppleEDIT,
Math,D Richard,Islamic,50.46.434,1096,8/13/2014,8/27/2014,deinstalled,14-08-13_50.46.434_MathEDIT,
Panda,D Richard,G369,2013.29.1296,117088,8/13/2014,8/27/2014,deinstalled,14-08-13_2013.29.1296_PandaEDIT,
Barn,D Richard,G312,66.46,1618,8/14/2014,8/28/2014,deinstalled,14-08-13_66.46_BarnEDIT,
Lightning bugs,D Richard,G219,31.50.197a-c,455,8/20/2014,9/3/2014,deinstalled,14-08-20_35.50.197a-c_firefliesEDIT,
Rockin' bus,Roma,G307,2006.33,99368,8/26/2014,9/9/2014,deinstalled,14-08-26_2006.33_RocknReadEDIT,
Dogs & owners,D Richard,G324,16.2,76,8/27/2014,9/10/2014,deinstalled,14-08-27_16.2_dogsEDIT,
Iraq,D Richard,outside of Africa,41.9,611,8/27/2014,9/10/2014,deinstalled,14-08-27_41.9_IraqEDIT,
Krishna,D Richard,G211,64.65.4 ,18766,8/28/2014,9/11/2014,deinstalled,14-08-28_64.65.4_KrishnaEDIT,
Whale,Emma Bauer,G100,83.77,3215,8/28/2014,9/11/2014,deinstalled,14-08-28_83.77_WhaleEDIT,
Reading Emotion,T Gihring,G306,64.63.2,1567,8/29/2014,9/12/2014,deinstalled,14-08-14_64.63.2_ReadingEmotions_EDIT,
Pilgrim,D Richard,G342,62.24,1476,9/3/2014,9/17/2014,deinstalled,14-09-03_62.24_PilgrimEDIT,
Ice Bucket,Katie Wildfong,,44.42.8a-c,710,9/3/2014,9/17/2014,deinstalled,14-09-03_44.42.8a-c_IceBucketEDIT,
Play,Katie Wildfong,Family Center,Family Center,106292,9/3/2014,9/17/2014,deinstalled,14-09-03_FamilyCenter_PlayEDIT,
Chinese Pilots,TGihring,Dutch paintings,82.46,3076,9/4/2014,9/18/2014,deinstalled,14-09-04_82.46_ChinesePilots_EDIT,
Grey Obama,T Gihring,G332,32.12,486,9/4/2014,9/18/2014,missing—surprise!,14-09-04_32.12_GreyObama_EDIT,
Hugging Carp,Ana,G260,44.3.59,696,9/4/2014,9/18/2014,deinstalled,14-09-04_44.3.59_CarpEDIT,
Scot independence,D Richard,G313,26.2,320,9/10/2014,9/24/2014,deinstalled,14-09-10_26.2_ScotEDIT,
Birds,D Richard,G276,2013.29.1123,116881,9/10/2014,9/24/2014,deinstalled,14-09-10_2013.29.1123_RaptorEDIT,
Grass,D Richard,G263,2007.86.8,104252,9/10/2014,9/24/2014,deinstalled,14-09-10_2007.86.8_GrassEDIT,
Space,D Richard,G215,2002.45,60728,9/11/2014,9/25/2014,deinstalled,14-09-11_2002.45_SpaceTravEDIT,
Sword,D Richard,G214,50.46.20,877,9/16/2014,9/30/2014,deinstalled,14-09-16_50.46.20_SwordEDIT,
Topless France,T Gihring,G355,67.67,1655,9/12/2014,9/26/2014,deinstalled,14-09-12_67.67_ToplessFranceEDIT,
Dog Petting,T Gihring,G307,2006.33,99368,9/16/2014,9/30/2014,deinstalled,14-09-16_2006.33_DogPettingEDIT,
Ren Fest,D Richard,G340,23.54,14148,9/17/2014,10/1/2014,deinstalled,14-09-17_23.54_RenFestFracEDIT,
Canal,D Richard,G341,2011.20,110041,9/18/2014,10/2/2014,deinstalled,14-09-18_2011.20_CanalEDIT,
Swordfights,T Gihring,Armor Corridor,04.3.60,59168,9/23/2014,10/7/2014,installed,14-09-16_04.3.60_SwordfightsEDIT,
Smoking,D Richard,G321,68.79,30782,9/24/2014,10/8/2014,deinstalled,14-09-24_68.79_SmokerEDIT,
Fashion,D Richard,G344,"P.17,468",9830,9/24/2014,10/8/2014,deinstalled,"14-09-24_P.17,468_FashionEDIT",
Paris Syndrome,D Richard,G318,83.147 ,3161,9/24/2014,10/8/2014,deinstalled,14-09-24_83.147_ParisSynEDIT,
Haj,D Richard,G357,62.85 ,1510,10/1/2014,10/15/2014,deinstalled,14-10-1_62.85_HajjEDIT,
Phone Protests,T Gihring,G313,57.45,1341,10/1/2014,10/15/2014,deinstalled,14-10-1_57.45_PhoneProtestsEDIT,
celebs,D Richard,G306,69.22,1727,10/9/2014,10/23/2014,deinstalled,14-10-9_69.22_CelebEDIT,
LED,D Richard,G100,lobby,,10/14/2014,10/28/2014,deinstalled,14-10-15_Lobby_LED_EDIT,
Tiger,D Richard,G278,2009.7,107115,10/15/2014,10/29/2014,deinstalled,14-10-15_2009.7_TigerEDIT,
Pumpkin,D Richard,G260,44.41.8,703,10/15/2014,10/29/2014,deinstalled,14-10-15_44.41.8_PumpkinEDIT,
Camel,D Richard,G207,2004.205.1.1,95595,10/15/2014,10/29/2014,deinstalled,14-10-15_2004.205.1.1_CamelEDIT,
Dead Whale,T Gihring,G250,2010.72,111088,10/15/2014,10/29/2014,deinstalled,14-10-16_2010.72_DeadWhaleEDIT,
ISIS Mag,T Gihring,G310,"69.80.1a,b",1748,10/15/2014,10/29/2014,missing,"14-10-16_69.80.1a,b_ISMagEDIT",
Impala,D Richard,G379,2005.138 ,98653,10/16/2014,10/30/2014,deinstalled,14-10-16_2005.138_ImpalaEDIT,
Nonreader,D Richard,G307,2006.33 ,99368,10/30/2014,11/30/2014,deinstalled,14-10-30_2006.33_NonreaderEDIT,
Pointergate,Roma,G312,61.30,1401,11/11/2014,11/25/2014,deinstalled,14-11-12_61.30_PointergateEDIT,
youth rodeo,D Richard,G301,70.62,1819,11/12/2014,11/25/2014,missing,14-11-12_70.62_BuckarooEDIT,
four sisters,D Richard,G365,2009.66 ,108785,11/12/2014,11/25/2014,deinstalled,14-11-12_2009.66_SistersEDIT,
magical thinking,T Gihring,G250,71.3,1854,11/14/2014,11/27/2014,deinstalled,14-11-14_71.3_MagicalThinkingEDIT,
Van Gogh Turbulence,Tammy Ray,G355,51.7,1218,11/22/2014,12/6/2014,deinstalled,14-11-22_51.7_VanGoghTurbulenceEDIT,
Meditation,TGihring,Target Wing atrium,98.211,30781,11/22/2014,12/6/2014,deinstalled,14-11-22_98.211_MeditationEDIT,
Alcohol,D Richard,G214,98.80.2,5813,12/4/2014,1/4/2015,deinstalled,14-12-04_50.46.20_AlcoholEDIT,
Cabby,D Richard,G217,99.144,12057,12/11/2014,1/11/2015,missing: deinstalled?',14-12-11_99.144_CabbieEDIT,
Jade Mining,TGihring,G210,34.21.1,11978,12/12/2014,1/12/2015,missing: deinstalled?,14-12-12_34.21.1_JadeMiningEDIT,
Tudors,TGihring,G325,23.67,14157,12/12/2014,1/12/2015,missing: deinstalled?,14-12-12_23.67_TudorsEDIT,
Flowers,D Richard,G305, 83.7,8775,12/17/2014,1/17/2015,deinstalled,14-12-17_83.7_FlowerEDIT,
Lords,D Richard,G350,99.192.1a-c ,31377,12/17/2014,1/17/2015,deinstalled,14-12-17_99.192.1a-c_LordsEDIT,
China Arch,D Richard,near Wu Recept,98.67.2.1-8,60965,12/23/2014,1/23/2015,missing: deinstalled?,14-12-23_98.67.2.1-8_ChinaArchEDIT,
Manspread,D Richard,G306,66.20,10433,12/23/2014,1/23/2015,deinstalled,14-12-23_66.20_ManspreadEDIT,
bride,D Richard,G30?,23.42,263,12/31/2014,1/31/2015,deinstalled,14-12-31_23.42_BrideEDIT,
leopard,D Richard,G243,50.46.425,1987,12/31/2014,1/31/2015,deinstalled,14-12-31_50.46.425_LeopardEDIT,
falcons,D Richard,G276,P.75.51.164 ,66970,1/6/2015,2/6/2015,deinstalled,15-1-6_P.75.51.164_FalconEDIT,
soft soldiers,D Richard,,2003.242.1.1,84073,2/18/2015,3/18/2015,deinstalled,15-2-18_2003.242.1.1_SoftSoldierEDIT,
hot flash,D Richard,G342,14.8,54,2/18/2015,3/18/2015,deinstalled,15-2-18_14.8_HotFlashEDIT,
eyelash,D Richard,G306,35.7.82,546,2/23/2015,3/23/2015,deinstalled,15-2-25_35.5.82_EyelashEDIT,
Mummy Monk,T Gihring,G200,62.14,1473,3/4/2015,4/4/2015,deinstalled,15-03-04_62.14_MummyMonkEDIT,
Lost,A Bortolot,G260,44.41.24,701,3/5/2015,4/5/2015,deinstalled,15-3-4_44.41.24_lostcivilization,
baby,D Richard,G217,2013.37.2,116079,3/5/2015,4/5/2015,missing,15-3-5_2013.37.2_babytourismEDIT,
mancave,D Richard,2nd floor atrium,L2014.144.4,119650,3/5/2015,4/5/2015,deinstalled,15-3-5_HERMIT_mancaveEDIT,
Clinton,D Richard,G306,69.22,1727,3/11/2015,4/11/2015,deinstalled,15-3-11_69.22_ClintonEDIT,
Dalai Lama,D Richard,G212,92.44,4457,3/11/2015,4/11/2015,missing,15-3-11_92.44_DalaiLamaEDIT,
ISIS Nimrud,T Gihring,G240,41.9,611,3/11/2015,4/11/2015,deinstalled,14-03-11_49.1_ISISNimrudEDIT,
Buddha,D Richard,G213,2001.30,33050,3/18/2015,4/18/2015,missing,15-3-18_2001.30_BuddhaEDIT,
Thin Models,T Gihring,G313,26.2,320,3/18/2015,4/18/2015,deinstalled,15-3-18_26.2_ThinModelsEDIT,
Horse,D Richard,G215,98.19,5623,3/18/2015,4/18/2015,deinstalled,15-3-18_98.19_HorseEDIT,
Writing Desk,J Chevalier,G333,2002.204a-p,63571,3/19/2015,4/19/2015,deinstalled,15-3-19_2002.204a-p_WritingDeskEDIT,
Picasso,J Chevalier,G377,61.36.24,1423,3/24/2015,4/24/2015,deinstalled,15-3-24_61.36.24_PicassoEDIT,
Dance,D Richard,G215,50.46.186.1,869,3/25/2015,4/25/2015,deinstalled,15-3-25_50.46.186.1_DanceEDIT,
Leela,D Richard,G211,64.65.12,18790,4/1/2015,5/1/2015,deinstalled,15-4-1_64.65.12_LeelaEDIT,
HyenaHumans,T Gihring,G311,87.4,3584,4/2/2015,5/2/2015,missing?,15_4_2_87.4_HyenaHumansEDIT,
GlutenFree,T Gihring,G355,93.20,10436,4/2/2015,5/2/2015,deinstalled,15-4-2_93.20_GlutenFreeEDIT,
NightBright,T Gihring,G318,83.147,3161,4/8/2015,5/8/2015,deinstalled,15-04-08_83.147_NightBrightEDIT,
KingPuck,T Gihring,G305,73.13,1959,4/8/2015,5/8/2015,deinstalled,15-04-08_73.13_KingPuckEDIT,
Wolf Hall,D Richard,G342,87.6,3594,4/8/2015,5/8/2015,missing?,15-04-08_87.6_WolfHallEDIT,
Lincoln,D Richard,G323,44.25,689,4/15/2015,5/15/2015,deinstalled,15-04-15_44.25 _LincolnEDIT,
Espresso,J Chevalier,G350,84.121.1,24310,4/22/2015,5/22/2015,deinstalled,15-04-22_84.121.1_EspressoEDIT,
Power Pose,D Richard,G250,2011.29,111879,4/22/2015,5/22/2015,deinstalled,15-04-22_2011.29_PoseEDIT,
circus,D Richard,G215,50.46.186.1,869,4/29/2015,5/29/2015,deinstalled,15-04-29_50.46.186.1_CircusEDIT,
Nepal,D Richard,G212,95.86,4868,4/29/2015,5/29/2015,deinstalled,15-04-29_95.86_NepalEDIT,
GodAds,TGihring,G341,24.1,278,4/29/2015,5/29/2015,missing,15-04-29_24.1_GodAdsEDIT,
Hike,J Chevalier,G323,68.82,1694,4/29/2015,5/29/2015,deinstalled,15-04-29_68.82_HikeEDIT,
Rent a foreigner,D Richard,G207,2004.205.1.1,95595,4/30/2015,5/30/2015,missing,15-04-30_2004.205.1.1_CamelEDIT,
turkey,J Chevalier,G355,84.140,3267,5/6/2015,6/5/2015,missing,15-05-06_84.140_BirdFluEDIT,
PigPig,D Richard,G215,95.118.1a-l,4793,5/6/2015,6/6/2015,missing,15-5-6_95.118.1a-l_PigsEDIT.,
How Old? (Buonaventura),A Bortolot,G343,87.64,3632,5/6/2015,6/6/2015,deinstalled,15-05-06_87.64_How Old_Buonaventura,
How Old? (Tissot),A Bortolot,G357,75.7,2239,5/6/2015,6/6/2015,deinstalled,15-05-06_75.7_How Old_Tissot,
How Old? (Washington),A Bortolot,G332,32.12,486,5/6/2015,6/6/2015,deinstalled,15-05-06_32.12_How Old_Washington,
How Old? (Close),A Bortolot,G373,69.137,1721,5/6/2015,6/6/2015,deinstalled,15-05-06_69.137_How Old_Close,
How Old? (Read),A Bortolot,G304,77.46,2505,5/6/2015,6/6/2015,deinstalled,15-05-06_77.46_How Old_Read,
How Old? (Dix),A Bortolot,G377,75.72.3,2242,5/6/2015,6/6/2015,deinstalled,15-05-06_75.72.3_How Old_Dix,
How Old? (Tashat),A Bortolot,G250,16.414,95,5/6/2015,6/6/2015,deinstalled,15-05-06_16.414_How Old_Tashat,
How Old? (Romuald),A Bortolot,G343,62.9,1512,5/6/2015,6/6/2015,deinstalled,15-05-06_62.9_How Old_St_Romuald,
How Old? (Copley),A Bortolot,G306,41.3,593,5/6/2015,6/6/2015,deinstalled,15-05-06_41.3_How Old_Copley,
Olive,D Richard,G355,51.7,1218,5/13/2015,6/13/2015,deinstalled,15-5-13_51.7_OliveEDIT,
Veil,D Richard,G357,70.60,12092,5/27/2015,6/27/2015,missing,15-5-27_70.60_VeilEDIT,
Slave Ship,A Bortolot,G254,74.77,2137,6/3/2015,7/3/2015,deinstalled,15-6-3_74.77_SlaveShipAB,
Imposter,D Richard,G217,99.144,12057,6/3/2015,7/3/2015,deinstalled,15-6-3_99.144_ImpostersEDIT,
Heels,D Richard,G307,61.62,1463,6/4/2015,7/4/2015,missing,15-6-4_61.62_MensHeelsEDIT,
Caitlyn,J Chevalier,G306,41.3 ,593,6/16/2015,7/16/2015,deinstalled,15-6-16_41.3_CaitlynEDIT,
Fat kid,D Richard,G313,26.2,320,6/16/2015,7/16/2015,missing,15-6-16_26.2_ChildObesityEDIT,
Affordable Care Act,D Richard,G241,2000.64,197,6/24/2015,7/24/2015,deinstalled,15-6-24_2000.64_AffordCareActEDIT,
Flamingo,D Richard,G304,L98.94.3,6860,6/24/2015,7/24/2015,missing,15-6-24_L98.84.3_FlamingoEDIT,
ConfedFlag,T Gihring,G336,27.78,8024,6/24/2015,7/24/2015,installed,15-6-24_27.78_ConfedFlag_EDIT,
Rachel Dolezal,A Thomsen,G374,L2014.200.5a-d,108731,7/1/2015,8/1/2015,deinstalled,15-7-1_L2014.200.5a-d_RachelDolezalEDIT,
Tennis,D Richard,G357,2003.145,80860,7/1/2015,8/1/2015,deinstalled,15-7-01_2003.145_TennisEDIT,
,,,,,,,,,
Leonardo: Ahab,D Richard,G100,83.77,3215,7/8/2015,8/30/2015,deinstalled,15-6-25_Leonardo_83.77_Ahab,
Leonardo: St. John,D Richard,G340,2013.1,116111,7/8/2015,8/30/2015,deinstalled,15-6-25_Leonardo_2013.1_StJohn,
Leonardo: Otis,D Richard,ComCom,Otis Elevator,,7/8/2015,8/30/2015,deinstalled,15-6-25_Leonardo_Otis,
Leonardo: Horse,D Richard,G215,2002.45,60728,7/8/2015,8/30/2015,deinstalled,150625_Leonardo_2002.45_Horse,
Leonardo: Wheellock,A Bortolot,G340,97.39.2a-c,5373,7/8/2015,8/30/2015,deinstalled,150701_Leonardo_97.39.2a-c._WheelLock,
Leonardo: Prankster,A Bortolot,,2000.64,197,7/8/2015,8/30/2015,deinstalled,150702_Leonardo_2000.64__Pranks,
Leonardo: Left Hand,A Bortolot,Target Galleries,XXX,,7/8/2015,8/30/2015,deinstalled,150701_Leonardo_XXX_Left Handednes,
Drachma,J Chevalier,G341,24.1,278,7/15/2015,8/15/2015,deinstalled,15-7-15_24.1_DrachmaEDIT,
Chicha,Abbey Thomsen,G375,2012.117.2a-e,109328,7/15/2015,8/15/2015,deinstalled,15-7-15_2012.117.2a-e_ChichaEDIT,
Longhorn,Hallie,G301,84.4.1,3286,7/16/2015,8/16/2015,missing,15-7-16_84.4.1_LonghornEDIT,
First draft,D Richard,G355,54.1,1239,7/16/2015,8/16/2015,missing,15-7-16_54.1_FirstDraftEDIT,
Renaming,T Gihring,G321,73.42.3,1978,7/20/2015,8/20/2015,missing,15-7-16_73.42.3_RenamingEDIT,
Leonardo: Music,T Gihring,G343,67.28,1632,7/8/2015,8/30/2015,deinstalled,,
Leonardo: Selftaught,T Gihring,G304,2013.56,118808,7/8/2015,8/30/2015,deinstalled,,
Leonardo: Water,T Gihring,G260,47.53.4,17414,7/8/2015,8/30/2015,deinstalled,,
Fashion,J Chevalier,G307,2006.33,99368,7/22/2015,8/22/2015,missing,15-7-22_2006.33_FashionEDIT,
Mask,D Richard,G208,2002.220.1,63503,7/22/2015,8/22/2015,deinstalled,15-7-22_2002.220.1_MaskEDIT,
Seuss,Hallie,G369,2007.100,102644,7/28/2015,8/28/2015,missing,15-7-28_2007.100_DrSeussEDIT.docx,
Basque,D Richard,G376, 64.44.1,1555,8/5/2015,9/5/2015,deinstalled,15-8-5_64.44.1_BasqueEDIT,
Cotton,D Richard,G328,MacFarland Room,19404,8/5/2015,9/5/2015,missing,15-8-5_MacFarlaneRm_CottonEDIT,
Sheep,D Richard,G354,99.200.2,5925,8/18/2015,9/18/2015,missing,15-8-18_99.200.2_SheepEDIT,
walleye,J Chevalier,G323,78.26 ,2543,8/18/2015,9/18/2015,deinstalled,15-8-18_78.26_WalleyeEDIT,
Ranger,D Richard,G330,69.37,1735,8/19/2015,9/19/2015,deinstalled,15-8-19_69.37_RangerEDIT,
Jain,D Richard,G211,98.246,5682,8/26/2015,9/26/2015,missing,15-8-26_98.246_JainEDIT,
Panda,Hallie,G369,2013.29.1296,117088,8/27/2015,9/27/2015,missing,15-8-27_2013.29.1296_PandaEDIT,
Dinar,T Gihring,G254,90.76.26,27204,9/2/2015,10/2/2015,installed,15-9-2_90.76.26_DinarEDIT,
Safe Selfies,T Gihring,G355,62.39,1480,9/2/2015,10/2/2015,missing,15-9-2_62.39_SafeSelfiesEDIT,
Bird,D Richard,G304,2004.177.6,90011,9/9/2015,10/9/2015,missing,15-9-9_2004.177.6_BirdEDIT,
Migrants,D Richard,G374,2010.55.11,89565,9/16/2015,10/16/2015,missing,15-9-16_2010.55.11_MigrantsEDIT,
Status Rocket,T Gihring,G310,"69.80.1a,b ",1748,9/16/2015,10/16/2015,missing,"15-9-16_69.80.1,a,b_StatusRocketEDIT",
Japan,D Richard,G340,2009.60a-s,108860,9/23/2015,10/23/2015,deinstalled,15-9-23_2009.60a-s_JapanEDIT,
VW,J Chevalier,G379,2005.138,98653,9/29/2015,10/29/2015,deinstalled,15-9-29_2005.138_VW_EDIT,
macaque,D Richard,G321,82.47,3077,9/30/2015,10/30/2015,missing,15-9-30_82.47_MonkeySelfie_EDIT,
hat,D Richard,G350,2010.11.2,109119,10/6/2015,11/7/2015,missing,15-10-7_2010.11.2_Hat_EDIT,
Palmyra,D Richard,G242,2008.28.2,81247,10/7/2015,11/7/2015,deinstalled,15-10-7_2008.28.2_PalmyraEDIT,
Charleston,A Bortolot,G336,27.78,8024,10/7/2015,11/7/2015,missing,,
Lobster Boom,T Gihring,G376,96.2,5033,10/7/2015,11/7/2015,missing,,
Bro Mitzvah,T Gihring,G250,57.43.2,1339,10/7/2015,11/7/2015,installed?,,
Viking,D Richard,G304,"99.93a,b",32465,10/8/2015,11/8/2015,missing,"15-10-8_99.93a,b_Viking_EDIT",
Smoking,D Richard,G208,46.23.1a-d,738,10/14/2015,11/14/2015,deinstalled,15-10-14_46.23.1a-d_ChinaSmoking_EDIT,
"Culture,Not Costume Samurai",D Richard,G340,2009.60a-s,108860,10/21/2015,11/21/2015,missing,15-10-14_2009.60a-s_CultureNotCostumeSamurai_EDIT,
"Culture,Not Costume Noble Woman",D Richard,G342,87.6,3594,10/21/2015,11/21/2015,missing,15-10-15_87.6_CultureNotCostumeLady,
"Culture,Not Costume Headdress",D Richard,G261,2015.6,121200,10/21/2015,11/21/2015,missing,15-10-20_2015.6_CultureNotCostumeNative,
Depressed,D Richard,G304,77.46,2505,10/22/2015,11/22/2015,missing,15-10-22_77.46_DepressedEDIT,
Meat,D Richard,G377,57.12,1325,10/28/2015,11/28/2015,missing,15-10-28_57.12_MeatEDIT,
"Culture,Not Costume Kimono",A Bortolot,,,,10/28/2015,11/28/2015,,15-10-28_XXXXX_CultureNotCostumeKimonoEDIT,
"Culture, Not a Costume Egyptian",T Gihring,G250,16.414,95,10/28/2015,11/28/2015,deinstalled,15-10-20_16.414_CultureNotCostumeEgyptian,
"Culture, Not a Costume Whose Sleeves",T Gihring,Burke,L2015.33.99,,10/28/2015,11/28/2015,installed,15-10-20_L2015.33.99_CultureNotCostumeWhoseSleeves,
"Culture, Not a Costume, Whose Sleeves",T Gihring,G343,77.27.1,2488,10/28/2015,11/28/2015,missing,15-10-20_77.27.1_CultureNotCostumeJesus,
One-child policy,D Richard,G217,2013.37.2,116079,11/3/2015,12/3/2015,deinstalled,15-11-3_2013.37.2_OneChildEDIT,
"Culture, not Costume: cornrow",D Richard,G254,2011.72,113238,11/10/2015,12/10/2015,deinstalled,15-11-10_2011.72_CultureNotCostumeCornrow,
Defiant Paris,T Gihring,G351,18.19,129,11/18/2015,12/18/2015,missing,,
DemocracyBurma,D Richard,G213,89.55,12058,11/18/2015,12/18/2015,missing,15-11-18_18.19_DemocracyBurmaEDIT,
Dollhouse,D Richard,G110,L2013.87,118536,11/18/2015,12/18/2015,deinstalled,15-11-18_L2013.87_DollhouseEDIT,
Tony Bennett,D Richard,G355,16.20,77,12/2/2015,1/2/2016,missing,15-12-2_16.20_TonyBennettEDIT,
Nefertiti,D Richard,G250,16.414,95,12/2/2015,1/2/2016,deinstalled,15-12-2_16.414_NefertitiEDIT,
Gladiators,M Siasoco,G180,2015.26,120409,12/7/2015,1/7/2016,deinstalled,15-12-07_2014.26_GladiatorsEDIT,
Jackson HOle,D Richard,G328,67.58.7,19404,12/17/2015,1/17/2016,deinstalled,15-12-17_67.58.7_JacksonHoleEDIT,
Real Jesus,T Gihring,G266,2008.101,104894,12/17/2015,1/17/2015,deinstalled,,
Casket Art,D Richard,G250,2010.72,111088,12/30/2015,1/30/2016,deinstalled,15-12-30_2010.72_CasketArtEDIT,
Old Navy T,T Gihring,Art Studios,Art Studios,,1/10/2016,2/10/2016,missing,16_1_12_ArtStudios_OldNavyT,
Bowie,D Richard,G374,"2011.12A,B",111576,1/13/2016,2/13/2016,deinstalled,"16-1-13_2011.12a,b_BowieEDIT",
Nudity,D Richard,G361,,,1/21/2016,2/21/2016,missing,16-1-20_Gal361_NudesEDIT,
locusts,D Richard,G250,98.100.1,,1/28/2016,2/28/2016,deinstalled,16-1-28_98.1.100_locustsEDIT,
chess,D Richard,G379,98.276.19A-GG,40414,2/2/2016,3/2/2016,installed,16-2-3_98.276.19A-GG_chessEDIT,
BlackHistoryMonth: VanDerZee,D Richard,G360,74.36.3,20170,2/10/2016,2/28/2016,deinstalled,160210VanDerZee_74.36.3_BlackHistory,
BlackHistoryMonth: Shonibare,D Richard,G374,Dressing Down,,2/10/2016,2/28/2016,deinstalled,160210Shonibare_DressingDown_BlackHistory,
BlackHistoryMonth: Snake Jug,A Bortolot,G303,2014.122,91467,2/10/2016,2/28/2016,deinstalled,160210VSnakeJug_2004.122_BlackHistory,
BlackHistoryMo:Providence,A Bortolot,G335,23.3D,14019,2/11/2016,2/28/2016,deinstalled,160211ProvidenceParlor_23.3D_BlackHistoryEDIT,
Japan,D Richard,G252,2015.79.162.2,123100,3/1/2016,4/1/2016,deinstalled,16-3-1_2015.79.162.2_JapanEDIT,
teapot,D Richard,G350,2007.36.2,100515,3/1/2016,4/1/2016,deinstalled,16-3-1_2007.36.2_TeapotEDIT,
twin study,D Richard,G304,2008.84,98954,3/2/2016,4/2/2016,deinstalled,16-3-2_2008.84_TwinStudyEDIT,
WomenatWork: Claymore,D Richard,G374,2010.19,109856,3/2/2016,3/31/2016,deinstalled,16-3-2_2010.19_WomenatWork_ClaymoreEDIT.docx,
WomenatWork: Carrington,D Richard,G376,2005.127.2,98514,3/2/2016,3/31/2016,deinstalled,16-3-2_2005.127.2_WomenatWork_CarringtonEDIT.docx,
